Upstream Regulator,Expr Log Ratio,Molecule Type,Predicted Activation State,Activation z-score,p-value of overlap,Target Molecules in Dataset,Mechanistic Network
phytoestrogen, ,chemical drug, , ,0.00367,"LIF,SFRP2", 
phosphatidic acid, ,chemical - endogenous mammalian, , ,0.00367,"IGF2,NOS2", 
IFN Beta, ,group,Activated,2.022,0.00367,"BST2,CDKN1A,IFIT1,IFIT2,NOS2,OAS1,OAS3",110 (14)
MAP2K6,-1.066,kinase, , ,0.00372,"ACP5,CDKN1A,IFIT2,NOS2,PPARGC1A",128 (20)
Y 27632, ,chemical drug, ,-0.485,0.00372,"AMOTL2,CDH5,CDKN1A,PERP,THBS1",94 (15)
SATB2,-0.444,transcription regulator, ,0.831,0.00372,"FLVCR2,MMP16,PERP,SPP1", 
NR5A2, ,ligand-dependent nuclear receptor, ,-0.048,0.00388,"ABCC3,C5AR1,CDKN1A,GADD45G,PTGDS,TNFRSF1B",66 (9)
plicamycin, ,chemical drug, ,-0.339,0.00388,"ADAMTS4,CDKN1A,PLAUR,PLXDC1,VWF,XYLT1",11 (2)
NRG1, ,growth factor, ,0.43,0.00393,"AMOTL2,ASCL1,CAV1,CDKN1A,FOSB,IGF2,PLAUR,SHBG,THBS1,TNS1",94 (15)
Notch, ,group, ,-0.124,0.00393,"CCN4,CDKN1A,DLL3,HES5,TBX21",18 (3)
cerivastatin, ,chemical drug, ,0.911,0.00393,"CDKN1A,ITGB4,NOS2,PLAUR,PTGDS",124 (21)
"15-deoxy-delta-12,14 -PGJ 2", ,chemical - endogenous mammalian, ,-1.001,0.00395,"ADAMTS4,CD200,CDKN1A,GDF15,NOS2,PLAAT4,PTGES,SPP1",122 (17)
IRF1,0.662,transcription regulator, ,1.909,0.00395,"CDKN1A,IFI44L,IFIT1,IFIT2,NOS2,OAS1,OAS3,PLAAT4",126 (18)
SIRT1,-0.116,transcription regulator, ,0.27,0.00395,"CAV1,CDKN1A,CNR1,CYP1A1,EPAS1,HES5,NLGN1,NOS2,OAS1,PPARGC1A,PRDM16,SFRP2,SYNPO",119 (18)
dexamethasone phosphate, ,chemical drug, , ,0.00403,"GADD45G,HES5,THBS1", 
ITGA1, ,other, , ,0.00403,"CAV1,DCN,NOS2",93 (11)
TGFB1I1,0.173,transcription regulator, , ,0.00403,"CDKN1A,KRT18,TNS1",108 (10)
SIX5,0.057,transcription regulator, , ,0.00403,"IGF2,KRT18,SFRP2", 
Cdkn1c, ,other, , ,0.00403,"CDKN1A,ITGB4,LGI4", 
Fus, ,transcription regulator, , ,0.00403,"H1-2,KCNIP1,TUBA4A", 
FOXO1,0.127,transcription regulator, ,1.498,0.00409,"CAV1,CDH5,CDKN1A,CNR1,CTSV,DCX,EDNRB,FOSB,HPD,PPARGC1A,RIPOR2,TBX21,TDO2,THBS1",124 (17)
"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine", ,chemical toxicant,Activated,2.162,0.00416,"CNR1,FOSB,LIF,NOS2,TNFRSF1B",111 (13)
rottlerin, ,chemical toxicant, ,-1.904,0.00416,"APOBEC3B,CDKN1A,CLDN4,NOS2,PDGFB",124 (17)
ETV6-RUNX1, ,fusion gene/product,Inhibited,-2.03,0.00416,"ANTXR2,ARX,DLL1,FAM43A,H4C11,H4C15,IFI30,IFIT1,OAS1,SPP1,TNFRSF10D", 
HMGA1,0.003,transcription regulator, ,0.522,0.00427,"ARL4A,CAV1,GHR,H19,KCNJ11,NOS2,TFAP2C", 
FOXA2, ,transcription regulator, ,0,0.00428,"CHI3L1,CLDN4,CPM,DCX,DLK1,H19,KCNJ11,PTGDS,TDO2", 
C/EBP, ,group, , ,0.00433,"ALDH3A1,CYP1A1,NOS2,PTGES",73 (8)
ITGA5, ,transmembrane receptor, , ,0.00433,"CDKN1A,IGF2,NOS2,PLAUR",120 (23)
Rb, ,group, ,-0.447,0.00439,"ARX,CDKN1A,CYP1A1,H19,PPARGC1A",77 (7)
SFTPA1, ,transporter,Inhibited,-2.219,0.00439,"AMOT,FOSB,NOS2,PLAAT4,SFRP2", 
FOS,-0.281,transcription regulator, ,-0.726,0.00441,"CHI3L1,COL8A2,CRABP1,CTSV,FOSB,FRZB,GRIK2,HSPB8,ITGB4,OXTR,PLAUR,PLK2,PTGDS,SFRP2,SPP1,XYLT1",85 (7)
PSMB11, ,peptidase, ,-1.633,0.00442,"ADCY2,CAV1,CLDN4,CTSV,THBS1,TNFRSF1B", 
RBPJ,-0.176,transcription regulator, ,0,0.00442,"ASCL1,CDKN1A,DLL1,HES5,IGF2,LIF,PDGFB",60 (7)
NOS2,1.559,enzyme, ,0.958,0.00449,"ALDH3A1,CDKN1A,CHI3L1,H19,NOS2,PERP,PPARGC1A,SERPINA3",142 (21)
kaempferol, ,chemical toxicant, , ,0.00454,"CDKN1A,CYP1A1,NOS2",127 (19)
biochanin A, ,chemical toxicant, , ,0.00454,"ACP5,CYP1A1,NOS2", 
CTNNB1,0.049,transcription regulator, ,-0.406,0.00456,"ALCAM,ARL4A,ASCL1,CCN4,CDKN1A,CNR1,CYP1A1,DLK1,GADD45G,GDF15,GHR,GPAT3,IFIT1,IGF2,LIF,MMP16,NOS2,OLIG1,PCDH15,PLAUR,SERPINA3,SPP1,TBX21",132 (16)
Rxr, ,group, , ,0.00462,"CDKN1A,CRABP1,DLK1,NOS2,PDGFB,SPP1",114 (19)
Gsk3, ,group,Activated,2,0.00463,"FOSB,GDF15,NOS2,SPP1,TBX21",127 (23)
BDNF,0.374,growth factor, ,1.609,0.00467,"CDKN1A,CNR1,CPLX2,FOSB,NOS2,NPAS4,PLP1,SFRP2,SPP1,SYNPO,THBS1",89 (21)
PKD2,-0.092,ion channel, , ,0.00485,"CDKN1A,NOS2",112 (18)
CCL-34, ,chemical reagent, , ,0.00485,"CD8A,ITGAX", 
NCX-4040, ,chemical drug, , ,0.00485,"CYP1A1,NOS2",72 (7)
benzoic acid, ,chemical - endogenous mammalian, , ,0.00485,"ITGAX,NOS2", 
SC-58125, ,chemical drug, , ,0.00485,"GDF15,PTGES", 
astragaloside IV, ,chemical - endogenous non-mammalian, , ,0.00485,"NOS2,TBX21", 
tosyllysine chloromethyl ketone, ,chemical - protease inhibitor, , ,0.00485,"CYP1A1,NOS2",70 (7)
USF1,-0.255,transcription regulator, , ,0.00488,"ACP5,CHI3L1,SHBG,SPP1,SYNPO", 
bexarotene, ,chemical drug, ,0.216,0.00493,"ALCAM,AMOTL2,CPLX1,CRABP1,DLK1,NOS2,PCDH15,PLAUR",31 (4)
IFN type 1, ,group, ,1.951,0.005,"BST2,IFIT1,IFIT2,PLAAT4",107 (13)
ADRA1A, ,G-protein coupled receptor, , ,0.005,"CTSV,CYP1A1,LIF,PTHLH", 
DCAF1,-0.183,kinase, , ,0.00508,"CDKN1A,OPN3,PTGES", 
Trp53cor1, ,other, , ,0.00508,"CDKN1A,PERP,SSTR2", 
SUPT16H,0.074,transcription regulator, , ,0.00508,"CDKN1A,H1-2,H2AC6", 
calyculin A, ,chemical toxicant, , ,0.00508,"CDKN1A,NOS2,VWF",111 (21)
arotinoid acid, ,chemical toxicant, , ,0.00508,"CDKN1A,CNR1,PTHLH", 
Creb, ,group, ,1.218,0.00511,"ADCY8,ANTXR2,CCN4,CDKN1A,CTSV,FOSB,HSPB8,PPARGC1A,PTHLH,SSTR2,SYNPO", 
levodopa, ,chemical - endogenous mammalian, ,1.694,0.00512,"AMIGO2,CD200,CNR1,CRYM,DLK1,EDNRB,F11R,FBLN1,FOSB,LPAR4,NPAS4,NT5E,PGM2L1,PITPNM3,PLK2,SHC1,TNR,VSTM2A", 
FLT1, ,kinase, ,0,0.00514,"CDKN1A,EPAS1,NRP1,THBS1,VWF",116 (16)
spironolactone, ,chemical drug, ,-1.342,0.00514,"ABCC3,CDKN1A,EDNRB,PRDM16,SLCO2A1", 
ADRB2, ,G-protein coupled receptor, , ,0.00536,"NRP1,PDGFB,PPARGC1A,SPP1",131 (21)
IRF6, ,transcription regulator, ,1.067,0.00536,"APOBEC3B,NOS2,PPARGC1A,PTGES",50 (6)
PGR, ,ligand-dependent nuclear receptor, ,0.991,0.00544,"ACP5,CDKN1A,EPAS1,H19,ITGB4,KRT18,PACSIN1,PLK2,PTGES,RASSF2",125 (20)
CBX5,0.022,transcription regulator, ,-0.447,0.00546,"ALDH3A1,CDKN1A,H1-2,OAS1,PLAAT4,SERPINA3", 
P38 MAPK, ,group, ,0.841,0.00546,"CAV1,CDH5,CDKN1A,CYP1A1,EDNRB,ITGB4,NOS2,PLAUR,PPARGC1A,SPP1,TBX21,THBS1",109 (19)
thapsigargin, ,chemical toxicant, ,0.998,0.00556,"C5AR1,CAV1,CDKN1A,CLDN4,CREB3L1,NOS2,NPAS4,THBS1",120 (22)
TCF7L2,0.072,transcription regulator, ,-0.748,0.00559,"ADAMTS4,ATP8B1,CDKN1A,EPAS1,LRRN1,OLIG2,PLP1,PPARGC1A,RAB33A,SPP1,TNS1", 
UTP, ,chemical - endogenous mammalian, , ,0.00566,"NOS2,SPP1,THBS1",110 (18)
CTSB,-0.095,peptidase, , ,0.00566,"CTSV,NOS2,PLAUR",98 (12)
ATOH1, ,transcription regulator, , ,0.00566,"DLL1,HES5,RASD2", 
trabectedin, ,chemical drug, , ,0.00566,"CDKN1A,DHRS2,H4C11", 
diallyl disulfide, ,chemical - endogenous non-mammalian, , ,0.00566,"ABCC3,GDF15,NT5E", 
MSTN, ,growth factor, ,0.937,0.00573,"CDKN1A,CTSV,IGF2,PPARGC1A",12 (2)
SMAD4,-0.189,transcription regulator,Activated,2.176,0.00577,"CDH5,CDKN1A,HRH2,INPP5D,PDGFB,PTHLH,SSTR2,TBX21,THBS1",124 (16)
LY294002, ,chemical - kinase inhibitor, ,-1.148,0.00586,"CDKN1A,CLDN4,CNR1,DHRS2,EPAS1,FOSB,GDF15,IGF2,LIF,NOS2,PLK2,RASSF2,SPP1,THBS1,TNFRSF1B",109 (20)
cocaine, ,chemical drug,Activated,2.759,0.0059,"CNR1,FOSB,IFIT1,MAP2K6,NOS2,OAS1,PDGFB,THBS1",117 (21)
MSGN1, ,transcription regulator, , ,0.00618,"DLL1,DLL3", 
Mir218, ,microRNA, , ,0.00618,"SFRP2,SPP1", 
(-)-epicatechin gallate, ,chemical - endogenous non-mammalian, , ,0.00618,"GDF15,SPP1", 
APC/APC2, ,group, , ,0.00618,"CDKN1A,NOS2",105 (14)
HCAR1, ,G-protein coupled receptor, , ,0.00618,"PPARGC1A,SLC16A3", 
BCKDK,0.032,kinase, , ,0.00618,"OLIG2,PLP1", 
TRG, ,other, , ,0.00618,"CAV1,NT5E", 
SOX8,-0.821,transcription regulator, , ,0.00618,"DLK1,PLP1", 
NPAT,0.124,transcription regulator, , ,0.00618,"H2AC6,H2BC21", 
CDKN3,-0.315,phosphatase, , ,0.00618,"DLK1,H19", 
CD99,-0.228,other, , ,0.00618,"CAV1,FOSB",70 (7)
TFR2,0.476,transporter, , ,0.00618,"ERFE,GDF15", 
butylhydroxybutylnitrosamine, ,chemical toxicant, , ,0.00618,"CDKN1A,CYP1A1", 
oleoylethanolamide, ,chemical - endogenous mammalian, , ,0.00618,"FOSB,NOS2",82 (14)
thymidine, ,chemical - endogenous mammalian, , ,0.00618,"BCYRN1,CDKN1A", 
TLR9, ,transmembrane receptor, ,1.066,0.00625,"ADAMTS4,CPM,IFI44L,IFIT1,IFIT2,NOS2,OAS3,TBX21,TNFRSF1B",113 (17)
P2RY14, ,G-protein coupled receptor, , ,0.00627,"ARX,GALR1,SSTR2", 
RC3H1,-0.106,enzyme, , ,0.00627,"NRP1,SPP1,TNFRSF1B", 
maslinic acid, ,chemical - endogenous non-mammalian, , ,0.00628,"MAP2K6,NOS2,PLAUR,SHC1,THBS1",79 (7)
STAT5A,0.662,transcription regulator, , ,0.00643,"ALDH3A1,CDKN1A,EPAS1,FOSB,GADD45G,H1-2,OAS1,PLAAT4,SERPINA3,TBX21",122 (18)
oblimersen, ,biologic drug, ,1.982,0.00654,"BST2,CDKN1A,IFIT1,OAS1", 
CAT,0.089,enzyme, ,-1.951,0.00654,"CAV1,CDKN1A,NOS2,THBS1",125 (22)
ERBB4, ,kinase, ,0.692,0.0066,"CDKN1A,GHR,IGF2,SERPINA3,THBS1",97 (15)
PKD1,0.331,ion channel, ,-0.368,0.00663,"AMOTL2,CDKN1A,FOSB,KRT18,SSTR2,TNS1,VSTM2A,VWF", 
KDM1A,-0.134,enzyme, ,-1.709,0.00663,"CDKN1A,CRYM,HAS3,KRT18,SCN1A,SFRP2,SYNPO,ZNF165", 
EGR2,0.296,transcription regulator, ,0.174,0.00669,"CDKN1A,CRABP1,GHR,IGF2,MR1,PTHLH,TBX21", 
FOXO3,-0.113,transcription regulator,Activated,2.401,0.00679,"ALDH3A1,CAV1,CDH5,CDKN1A,CTSV,EDNRB,FOSB,NOS2,NT5E,PPARGC1A,TNFRSF1B",139 (21)
deferoxamine, ,chemical drug, ,0.882,0.00682,"CACNA1E,CDKN1A,ELN,EPAS1,GDF15,NOS2,PLAUR,SPP1",117 (22)
di(2-ethylhexyl) phthalate, ,chemical toxicant, ,-0.152,0.00697,"ALDH3A1,FOSB,IRAK2,SLCO2A1", 
ELAVL1,-0.185,other, ,0.988,0.00702,"ASCL1,CDKN1A,CENPE,DCN,GLIPR1,NOS2,OAS1,PTHLH",92 (11)
TLR4, ,transmembrane receptor, ,0.883,0.00708,"APOBEC3B,CD200,DLK1,GADD45G,IFIT2,LRRK2,NOD2,NOS2,OXTR,PLK2,PTGES,SPP1",117 (20)
RUNX2,0.099,transcription regulator, ,0.027,0.00718,"CDKN1A,ITGB4,OLIG1,PTGDS,SPP1,SVIL",90 (14)
S-nitroso-N-acetyl-DL-penicillamine, ,chemical reagent, ,1.911,0.00742,"CDKN1A,NOS2,PPARGC1A,SPP1",105 (20)
CLEC4G, ,other, ,-0.762,0.00742,"IGF2,NOS2,SCRG1,TBX21", 
GNAS,-0.186,enzyme, ,1.982,0.00742,"NRP1,PPARGC1A,PTHLH,SPP1",106 (20)
EFNA2,-0.531,kinase, ,-1,0.00742,"ITGB4,KRT18,NT5E,PTHLH", 
celecoxib, ,chemical drug, ,1.218,0.00746,"CDKN1A,CLDN4,GDF15,NOS2,TNFRSF10D,TNFRSF1B",119 (17)
AKT1,0.083,kinase, ,0.478,0.00755,"CDKN1A,CTSV,FOSB,GDF15,IGF2,NOS2,PLP1,PPARGC1A,SPP1,THBS1",109 (22)
NFKBIA,-0.014,transcription regulator, ,1.112,0.00759,"CDKN1A,CHI3L1,DCN,GADD45G,IGF2,KRT18,LIF,MR1,NOD2,NOS2,PTGES,TNFAIP2,TNFRSF1B",134 (18)
hemin, ,chemical - endogenous mammalian, ,-0.099,0.00759,"CDKN1A,NOS2,SHC1,SPP1,TFAP2C",115 (21)
PML,0.413,transcription regulator, ,1.906,0.00761,"BST2,CDKN1A,IFI44L,IFIT1,OAS1,OAS3,PPARGC1A",109 (11)
urethane, ,chemical toxicant, , ,0.00762,"CDKN1A,CYP1A1,PTGES",65 (11)
1L-6-hydroxymethyl-chiro-inositol 2-(R)-2-O-methyl-3-O-octadecylcarbonate, ,chemical - kinase inhibitor, , ,0.00766,"GDF15,NOS2",75 (10)
RNASEH2B,0.077,enzyme, , ,0.00766,"CDKN1A,OAS1",15 (3)
PARP, ,group, , ,0.00766,"CDKN1A,NOS2", 
ZGPAT,0.23,transcription regulator, , ,0.00766,"FGF14,PDGFB", 
FFAR1, ,G-protein coupled receptor, , ,0.00766,"CYP1A1,PPARGC1A",90 (7)
LGALS8,0.608,other, , ,0.00766,"CDKN1A,VWF", 
DAB2IP,0.099,other, , ,0.00766,"CDKN1A,EPAS1",79 (10)
FRMD6,-0.196,other, , ,0.00766,"CDKN1A,PDGFB", 
PIM3,0.052,kinase, , ,0.00766,"PPARGC1A,TBX21", 
COP1,-0.333,enzyme, , ,0.00766,"CDKN1A,PPARGC1A", 
CYBA, ,enzyme, , ,0.00766,"CDKN1A,EPAS1", 
tiron, ,chemical reagent, , ,0.00766,"CDKN1A,PLAUR",129 (16)
N-acetylglucosamine, ,chemical - endogenous mammalian, , ,0.00766,"NOS2,TBX21", 
SREBF1,0.062,transcription regulator,Activated,2.121,0.00784,"C5AR1,CDKN1A,DLK1,IFI30,KCNJ11,NOS2,PTGDS,SERPINA3,TNFRSF1B",61 (8)
Hdac, ,group, ,-1.942,0.00785,"CDKN1A,DLL1,EDNRB,NRP1,PPARGC1A,SFRP2,SPP1",99 (14)
MYC,-0.757,transcription regulator, ,-0.581,0.00788,"ABCC3,ALCAM,ARHGAP22,ASCL1,CAV1,CCN4,CDKN1A,CTSV,FRZB,GADD45G,H19,IFI44L,IFIT1,IFIT2,ITGAX,LRRN1,NRP1,OAS1,OLIG1,PERP,PLAUR,PLP1,PPL,SEMA4A,SLC16A3,SPP1,THBS1",129 (20)
PTK2,-0.031,kinase, , ,0.00788,"CDKN1A,KRT18,SPP1,THBS1",131 (25)
PPARG, ,ligand-dependent nuclear receptor, ,-0.06,0.00793,"CAV1,CDKN1A,CPLX2,DLK1,EPAS1,F11R,GDF15,KRT18,NOS2,PPARGC1A,PTGES,SHBG,SPP1,XYLT1",133 (25)
POU2F2,-0.441,transcription regulator, , ,0.00795,"H2BC21,NOS2,SPP1,SSTR2,TNFAIP2", 
ADAM10,0.172,peptidase, , ,0.00831,"CDH5,GADD45G,ICOSLG/LOC102723996,PLP1,RPGR", 
sphingosine-1-phosphate, ,chemical - endogenous mammalian, ,1.139,0.00831,"NOS2,NRP1,PDGFB,THBS1,VWF",112 (18)
Nuclear factor 1, ,group, , ,0.00835,"CHI3L1,CYP1A1,SERPINA3", 
crocidolite asbestos, ,chemical toxicant, , ,0.00835,"LIF,NOS2,SPP1",101 (12)
IL11,0.452,cytokine, , ,0.00837,"DLK1,SERPINA3,SPP1,VWF", 
PRKCB, ,kinase, ,0.106,0.00837,"ADRB1,CDKN1A,NOS2,PPARGC1A",124 (19)
KLF5,-0.177,transcription regulator, ,1.371,0.00837,"CDKN1A,EPAS1,PDGFB,PTGES",91 (15)
emodin, ,chemical drug, ,1.119,0.00837,"CDKN1A,CLDN4,CYP1A1,NOS2",98 (16)
S100A9, ,other, ,0.447,0.00862,"ADAMTS4,CPM,ELN,H19,ITGB4,NOS2,PTGES",110 (13)
DNMT3A,0.35,enzyme, ,0.816,0.00862,"CNR1,CPLX2,PAK6,PLK2,SHC1,SPP1,SYNE3", 
5-azacytidine, ,chemical drug,Activated,2.433,0.00862,"CAV1,CDKN1A,DLK1,GDF15,NOS2,SHC1,THBS1",103 (15)
IL1RN, ,cytokine, ,-1.673,0.00864,"IFI44L,LIF,NOS2,OAS1,OAS3,SPP1",122 (22)
AG490, ,chemical - kinase inhibitor, ,-1.294,0.00869,"CDKN1A,IGF2,LY96,NOS2,SPP1",110 (20)
STAT2,0.611,transcription regulator, , ,0.00887,"CAV1,IFIT1,IFIT2,OAS1",81 (10)
NOTCH3,0.083,transcription regulator, ,1.407,0.00887,"CDKN1A,EPAS1,HES5,NOS2",71 (7)
PTGES,1.373,enzyme, , ,0.00887,"CDKN1A,ITGB4,NOS2,PTGES",80 (10)
phenylbutazone, ,chemical drug, ,1.98,0.00887,"CLDN4,ITGB4,SPP1,TMEM173", 
BMP7,-0.323,growth factor, ,-0.074,0.00895,"CDKN1A,DLK1,IGF2,PPARGC1A,PRDM16,SPP1",88 (10)
simvastatin, ,chemical drug, ,-1.981,0.00898,"ACP5,C5AR1,CDKN1A,H1-2,ITGB4,NOS2,SPP1,VWF",115 (18)
Ifnar, ,group, ,1.503,0.00908,"APOBEC3B,CD8A,IFIT2,OAS1,SPP1",41 (6)
grape seed extract, ,chemical drug, , ,0.00913,"CDKN1A,DCX,NOS2", 
TET3,-0.042,enzyme, , ,0.00913,"EPAS1,SLC43A2,SYNE3", 
ROR1,0.161,kinase, , ,0.00913,"AMOTL2,THBS1,TNS1", 
PRKG1, ,kinase, , ,0.00913,"CDKN1A,NOS2,THBS1",101 (20)
TRB, ,transmembrane receptor, , ,0.00913,"CD8A,CDKN1A,NT5E",65 (7)
hymecromone, ,chemical drug, , ,0.00913,"ADAMTS4,CAV1,HAS3", 
TRIM25,0.206,transcription regulator, , ,0.00928,"CDKN1A,IFIT2", 
PBRM1,-0.24,other, , ,0.00928,"CDKN1A,CENPE", 
Fcor, ,enzyme, , ,0.00928,"CDKN1A,PPARGC1A",84 (9)
VASP,0.135,other, , ,0.00928,"EPAS1,NOS2", 
doxazosin, ,chemical drug, , ,0.00928,"NOS2,SPP1",72 (7)
meloxicam, ,chemical drug, , ,0.00928,"CDKN1A,PTGES",80 (10)
zeaxanthin, ,chemical drug, , ,0.00928,"HAS3,SPON2", 
theophylline, ,chemical drug, , ,0.00928,"NOS2,THBS1",70 (6)
canrenoate potassium, ,chemical drug, , ,0.00928,"CDKN1A,SPP1", 
Sb202190, ,chemical - kinase inhibitor,Inhibited,-2.081,0.00928,"CDKN1A,CYP1A1,IFIT1,NOS2,PPARGC1A,PTHLH",126 (20)
PTF1A, ,transcription regulator, ,0.762,0.0094,"CRABP1,GRIK2,IPCEF1,SSTR2", 
TMEM173,1.285,other, ,1.96,0.0094,"IFIT2,LIF,NOS2,OAS1",91 (15)
ELK1,0.251,transcription regulator, ,1.964,0.0094,"CDKN1A,FOSB,SPP1,THBS1",131 (16)
HIC1,0.2,transcription regulator, ,0,0.0094,"AMIGO2,CDKN1A,LIF,SPP1", 
vitamin D, ,chemical drug, ,0,0.0094,"CDKN1A,CYP1A1,NOS2,SPP1",104 (18)
FSH, ,complex, ,-1.287,0.0094,"ACP5,AMOTL2,CRYM,CTSV,FOSB,KRT18,PLK2,RASSF2,SHBG,SSTR2,THBS1,ZNF331",103 (16)
SP3,-0.122,transcription regulator, ,0.781,0.00946,"CDKN1A,CHI3L1,GDF15,GHR,IGF2,OLIG2,PLAUR,XYLT1",68 (7)
TEAD4,-0.065,transcription regulator, , ,0.00948,"CDKN1A,GPR37,PLK2,TFAP2C,THBS1", 
PPIF,0.319,enzyme, ,-1.342,0.00948,"AMIGO2,ARHGAP22,DLK1,LIF,SPON2", 
okadaic acid, ,chemical toxicant, ,0.119,0.00948,"ALDH3A1,ELN,FOSB,NOS2,SPP1",110 (21)
genistein, ,chemical drug, ,1.616,0.00958,"ACP5,CD8A,CDKN1A,CTSV,CYP1A1,GDF15,IFIT2,NOS2,RPH3A,SHBG,SPP1,XYLT1",125 (22)
TBK1,0.092,kinase, ,-0.557,0.0099,"APOBEC3B,IFIT1,IFIT2,OAS1,OAS3",73 (12)
CD36, ,transmembrane receptor, ,0.277,0.0099,"ADAMTS4,LIF,PDGFB,PLAUR,PPARGC1A",134 (18)
daidzein, ,chemical drug, ,-0.6,0.0099,"ABCC3,CAV1,CYP1A1,FOSB,SHBG",94 (11)
prostaglandin J2, ,chemical - endogenous mammalian, , ,0.00994,"CDKN1A,GDF15,NOS2",110 (16)
HSD11B1, ,enzyme, , ,0.00994,"INPP5D,NOS2,PPARGC1A",113 (16)
ZBTB7A,0.036,transcription regulator, , ,0.00994,"CDKN1A,H19,NRP1",76 (7)
SSRP1,-0.392,transcription regulator, , ,0.00994,"CDKN1A,H1-2,H2AC6", 
TIMP1,0.238,cytokine, , ,0.00994,"CDKN1A,IGF2,PLAUR",103 (11)
UBE2I,-0.329,enzyme, , ,0.00994,"NOS2,PPARGC1A,PRDM16",72 (7)
RHO, ,G-protein coupled receptor,Inhibited,-2,0.00994,"CRABP1,FBLN1,H1-2,NT5E", 
carbon monoxide, ,chemical - endogenous mammalian, ,1.616,0.00994,"CAV1,CDKN1A,NOS2,PLAUR",128 (22)
CSF1,0.373,cytokine, ,0.765,0.00997,"ACP5,CDKN1A,CPM,GDF15,MMP16,SLC16A3,THBS1,TNFRSF1B",101 (19)
DNMT3B,0.445,enzyme, ,-1.387,0.0103,"ADRB1,CDKN1A,CNR1,IFIT1,NOS2,PAK6,SFRP2", 
DMRT1,1.194,transcription regulator, , ,0.0103,"DMRT1,DMRTA1,MAP2K6,MMP16,SHBG", 
ASPSCR1-TFE3, ,fusion gene/product,Activated,2.236,0.0103,"EPAS1,GDF15,IFI30,MYOF,PPARGC1A", 
maneb, ,chemical toxicant,Activated,2,0.0105,"CACNA1E,CYP1A1,KIAA1217,NOS2", 
LEP, ,growth factor, ,1.983,0.0106,"ABCC3,CAV1,CDKN1A,CTSV,DLK1,ITGAX,LIF,NOS2,PLP1,PPARGC1A,PRDM16,SPP1,THBS1", 
curcumin, ,chemical drug, ,-1.045,0.0106,"ADAMTS4,CAV1,CDKN1A,CLDN4,CYP1A1,FOSB,ITGB4,NOS2,PPARGC1A,PTGES,XYLT1", 
ETV5,0.195,transcription regulator, , ,0.0108,"ALCAM,CAV1,CHI3L1,CLDN4,SPP1", 
LGALS3,0.705,other, , ,0.0108,"CDKN1A,CTSV,KRT18,NOS2,PPARGC1A", 
EIF2AK2,-0.065,kinase,Activated,2.162,0.0108,"CDKN1A,IFIT1,NOS2,OAS1,OAS3", 
eicosapentenoic acid, ,chemical drug, ,-0.651,0.0108,"ELN,ITGAX,KCNJ11,PTGES,TNFRSF1B", 
carbon tetrachloride, ,chemical toxicant,Activated,2.61,0.0108,"CDKN1A,CNR1,CYP1A1,GDF15,H19,NOS2,PDGFB,SPP1", 
SELP, ,transmembrane receptor, , ,0.0108,"APOL3,CDKN1A,PLAUR", 
MEIS1,0.415,transcription regulator, , ,0.0108,"ASCL1,CDKN1A,DLK1", 
lactic acid, ,chemical - endogenous mammalian, , ,0.0108,"LY96,PPARGC1A,SLC16A3", 
HDAC1,0.274,transcription regulator, ,-1.553,0.0109,"ALCAM,CDKN1A,COL9A1,ITGB4,NOS2,PDGFB,PPARGC1A,SPP1,TNS1", 
LEPR,-0.825,transmembrane receptor, ,0.378,0.0109,"CNR1,GADD45G,H2AC6,LIF,NOS2,PLP1,PPARGC1A", 
STAT1/3/5 dimer, ,complex, , ,0.011,"CHI3L1,EPAS1", 
ATP7A,-0.432,transporter, , ,0.011,"ELN,PLP1", 
GREM1, ,other, , ,0.011,"CDKN1A,ELN", 
VGLL3,-1.01,other, , ,0.011,"SPP1,THBS1", 
toremifene, ,chemical drug, , ,0.011,"DLK1,IGF2", 
ETS1,-0.484,transcription regulator, ,1.72,0.011,"CAV1,CDH5,CDKN1A,HSPB8,PERP,PTHLH,SPP1,TBX21", 
F2RL1,0.136,G-protein coupled receptor, , ,0.0111,"CAV1,ITGB4,LIF,NOS2", 
CG, ,complex, ,1.974,0.0114,"ARHGAP22,CDKN1A,CTSV,EPAS1,LIF,NOS2,NRP1,OXTR,PLAUR,RASSF2,SPP1", 
AHR,-0.066,ligand-dependent nuclear receptor, ,0.625,0.0114,"ALDH3A1,CDKN1A,COLQ,CYP1A1,DCN,NOS2,PDGFB,SDSL,SPP1,TDO2,THBS1", 
testosterone, ,chemical - endogenous mammalian, ,0.135,0.0114,"ADRB1,CAV1,CDKN1A,CTSV,DCN,FOSB,GALR1,NOS2,SHBG,SSTR2,THBS1", 
EGFR,-0.14,kinase, ,1.618,0.0115,"CAV1,CDKN1A,CHI3L1,GHR,IGF2,NOS2,PLAUR,PTGES,SERPINA3,THBS1,TNXB,TUBA4A", 
BRCA1,0.526,transcription regulator, ,1.103,0.0116,"CDKN1A,CYP1A1,GDF15,IFIT1,IFIT2,PERP,TNFAIP2", 
TNFSF11, ,cytokine,Activated,2.183,0.0117,"ACP5,CAV1,CDKN1A,CYP1A1,HRH2,NOS2,PLAUR,SPP1,TNFRSF1B", 
sodium orthovanadate, ,chemical reagent, , ,0.0117,"CDKN1A,IFIT2,PLAUR", 
SN-38, ,chemical drug, , ,0.0117,"CDKN1A,CHRNA9,GDF15", 
